,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1,364,https://www.airbnb.com/rooms/364,20240928232601,2024-09-29,previous scrape,Lodo / RiNo LOFT  via airport train,"Modern 1,000 square foot loft in the heart of RiNo, the hottest neighborhood in Denver right now.  Breweries, coffee shops, restaurants - all close. The 500 sq ft. patio has panoramic views of the Rockies.  3 blocks away from airport train stop.","Ten brewpubs within walking distance, two great restaurants within two blocks and dozens more restaurants/bars/coffee shops within 4-5 blocks.   It's close to downtown without all the traffic & congestion.",https://a0.muscache.com/pictures/11766413/a2c5aaaf_original.jpg,783,https://www.airbnb.com/users/show/783,Jason,2008-07-11,"Denver, CO","I travel pretty frequently, I spend a lot of time in the mountains of Colorado and San Diego.",,,,f,https://a0.muscache.com/im/users/783/profile_pic/1410556181/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/783/profile_pic/1410556181/original.jpg?aki_policy=profile_x_medium,Five Points,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Five Points,,39.76672,-104.97906,Entire loft,Entire home/apt,3,,1.5 baths,1.0,,"[""Shampoo"", ""Iron"", ""Smoke alarm"", ""Indoor fireplace"", ""Hangers"", ""Breakfast"", ""Fire extinguisher"", ""Hair dryer"", ""Essentials"", ""Dedicated workspace"", ""Kitchen"", ""First aid kit"", ""Pets allowed"", ""Free parking on premises"", ""Air conditioning"", ""Heating"", ""Washer"", ""TV with standard cable"", ""Dryer"", ""Wifi"", ""Carbon monoxide alarm""]",,185,365,185,185,365,365,185.0,365.0,,t,23,53,83,358,2024-09-29,87,0,0,2009-05-18,2016-04-26,4.85,4.78,4.81,4.95,4.96,4.65,4.71,,f,1,1,0,0,0.46
9,154999,https://www.airbnb.com/rooms/154999,20240928232601,2024-09-29,city scrape,Midland Lofts 209: In the Heart of Downtown,"This condo is right in the heart of Downtown Denver in the Central Business District. Just one block away is the 16th Street Mall with Free Shuttle and Denver Pavilions (shopping mall, movie theater, restaurants/bars, bowling alley, etc). Colorado Convention Center, Denver Center for the Performing Arts, shops, bars, clubs, and restaurants, and lightrail station are all within steps. There can't be enough said for the location! No need for a car but Uber/Lyft, scooters and e-bikes are near.",,https://a0.muscache.com/pictures/miso/Hosting-154999/original/2bdbd7ea-d61a-4219-8570-ab6bce45f34c.jpeg,745200,https://www.airbnb.com/users/show/745200,Susan,2011-06-26,"Denver, CO","Hi! 

I'm Susan and I grew up in the Denver area and love how much it has grown. I have been a real estate broker since 2002 and opened Iconique Real Estate in 2019, a boutique real estate company focusing on city-center area real estate sales and leasing! Because I love being part of the action, I live downtown myself so I know it and adjacent neighborhoods very well. I'm readily available for recommendations or assistance. 

I hope you chose to stay at my listing (some I own myself, some I represent individual owners) - I would love to have you!",within an hour,100%,71%,,https://a0.muscache.com/im/pictures/user/3a9985ff-beea-42ca-a680-73eedf26e56c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3a9985ff-beea-42ca-a680-73eedf26e56c.jpg?aki_policy=profile_x_medium,Ballpark,26,43,"['email', 'phone', 'work_email']",t,t,,CBD,,39.74439,-104.98927,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Cleaning products"", ""TV with Chromecast"", ""Iron"", ""Wine glasses"", ""Long term stays allowed"", ""Smoke alarm"", ""Central heating"", ""Stove"", ""Ceiling fan"", ""Room-darkening shades"", ""Free dryer \u2013 In building"", ""Bathtub"", ""Essentials"", ""Dedicated workspace"", ""Kitchen"", ""Microwave"", ""Cooking basics"", ""Ethernet connection"", ""Shared gym in building"", ""Oven"", ""Exercise equipment: elliptical, free weights, stationary bike, treadmill, yoga mat"", ""Dishes and silverware"", ""Elevator"", ""Freezer"", ""Bed linens"", ""Refrigerator"", ""Extra pillows and blankets"", ""Central air conditioning"", ""Paid parking lot off premises"", ""Single level home"", ""Private entrance"", ""Wifi"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Free washer \u2013 In building"", ""Hot water"", ""Baking sheet"", ""Dishwasher""]",$86.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,14,289,2024-09-29,12,1,1,2011-08-04,2024-09-01,4.73,4.45,4.73,4.73,4.91,4.91,4.64,,f,4,4,0,0,0.07
16,575758,https://www.airbnb.com/rooms/575758,20240928232601,2024-09-29,previous scrape,a REAL warehouse LOFT,"two level LOFT.. great vibe.<br />spiral stair<br />chromecast<br />7 micro breweries<br />2 wineries<br />2 cider brewery<br />1 distillery<br />2 hair dresser 2 blocks<br />fine dining 2 blocks away<br />note: light rail close, denver b-cycle (bike-rental), and cars2go..","movie set vibe.. 12 micro breweries.. fine eateries & galleries.<br /><br />2 cider breweries, 2 wineries..",https://a0.muscache.com/pictures/9854335/d81b0460_original.jpg,2832150,https://www.airbnb.com/users/show/2832150,Kerry,2012-07-04,"Denver, CO","My loft has been evolving since I got it, to keep making it better has become a passion. As for me.. I'm out going and fun. adventure is my middle name. MTB fan.. but also love scooters and vintage motorcycles. trail hikes.. I know some great ones from novice to advanced. cheers and welcome!",,,,f,https://a0.muscache.com/im/users/2832150/profile_pic/1341436289/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2832150/profile_pic/1341436289/original.jpg?aki_policy=profile_x_medium,Five Points,1,2,"['email', 'phone']",t,t,Neighborhood highlights,Five Points,,39.76561,-104.97945,Entire loft,Entire home/apt,4,,1 bath,2.0,,"[""Shampoo"", ""Fire extinguisher"", ""Heating"", ""Washer"", ""Hair dryer"", ""TV with standard cable"", ""Essentials"", ""Dryer"", ""Wifi"", ""Long term stays allowed"", ""Keypad"", ""Hot water"", ""Kitchen"", ""Smoke alarm"", ""Hangers"", ""Self check-in"", ""First aid kit"", ""Free street parking""]",,180,180,180,180,180,180,180.0,180.0,,t,30,60,90,365,2024-09-29,37,0,0,2014-04-27,2017-01-09,4.59,4.61,4.42,4.44,4.78,4.53,4.28,,t,1,1,0,0,0.29
17,632709,https://www.airbnb.com/rooms/632709,20240928232601,2024-09-29,city scrape,1890 townhome in popular LoHi! 2018-BFN-0009355,"Perfect space/location for longer term visitors. Cozy townhome within walking distance to best neighborhood in Denver. Stay in a fully equipped home, ready for grilling in the backyard or heading out to amazing local restaurants.","LoHi is one of the fastest growing, hottest neighborhoods not just in Denver, but in the country. The neighborhood has several of the highest rated restaurants in Denver, and is walkable to other neighborhoods as well, including Platte Street, Union Station/LoDo, RiNo and the Highlands. Much of the neighborhood feels very residential, yet you can be at a great watering hole, coffee shop or restaurant within just a few minutes' walk.",https://a0.muscache.com/pictures/72693733/6bb99100_original.jpg,2157095,https://www.airbnb.com/users/show/2157095,Valerie,2012-04-17,"Denver, CO","I have been lucky to have traveled extensively, volunteered worldwide and because where you lay your head at night can be such an impactful part of your travels, I'm always looking for opportunities to create a welcoming and comfortable place, whether you are vacationing, stopping on your way through or working remotely.   

I grew up in the Midwest, lived in Chicago for several years, and now love the mountains as much as I love all my favorite destinations, from cities (San Francisco, Chicago, London) to mountain towns (Aspen, Crested Butte and Telluride) to international bucket list destinations (Mt. Kilimanjaro, Mombasa, Marrakesh).

I believe that travel is the key to understanding different people and different cultures, and I have learned that people are fabulous all over the world! 

Our goal is to make your experience feel tranquil, rejuvenating and special. Like you're home (but not!)  Feel free to follow me on IG: @vjarstad and on FB: Valerie Jarstad. ",within a few hours,91%,85%,,https://a0.muscache.com/im/pictures/user/0fb762c8-27bd-4c4a-9ed7-4e0368027638.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0fb762c8-27bd-4c4a-9ed7-4e0368027638.jpg?aki_policy=profile_x_medium,Highland,5,6,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Highland,,39.76468,-105.00883,Entire townhouse,Entire home/apt,4,2.0,2 baths,2.0,2.0,"[""Shampoo"", ""BBQ grill"", ""Cleaning available during stay"", ""Iron"", ""Long term stays allowed"", ""Keypad"", ""Private backyard \u2013 Fully fenced"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Self check-in"", ""Bathtub"", ""Hair dryer"", ""Pack \u2019n play/Travel crib"", ""Essentials"", ""Dedicated workspace"", ""Kitchen"", ""Microwave"", ""Cooking basics"", ""Oven"", ""Pets allowed"", ""Dishes and silverware"", ""Washer \u2013\u00a0In unit"", ""Free street parking"", ""Bed linens"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Extra pillows and blankets"", ""Heating"", ""City skyline view"", ""TV with standard cable"", ""Private entrance"", ""Dryer"", ""Wifi"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hot water"", ""Patio or balcony"", ""Dishwasher"", ""Baby safety gates""]",$143.00,29,180,29,29,180,180,29.0,180.0,,t,0,0,24,113,2024-09-29,154,0,0,2013-07-14,2020-03-13,4.88,4.94,4.9,4.97,4.91,4.95,4.88,,f,1,1,0,0,1.13
50,1733052,https://www.airbnb.com/rooms/1733052,20240928232601,2024-09-29,city scrape,Beautiful Private Basement Suite near Downtown,Beautifully remodeled basement suite in lovely Victorian home in central Denver.,"Many historical homes with a beautiful park nearby. Tons of ethnic restaurants, museums, and places of interest within walking distance from our address. There are 4 breweries within a mile; another 6 breweries within 2 miles. Excellent music venues are close by; 2 (Fillmore and Ogden Theater) are a couple blocks away. Public transportation and bike rentals are convenient from our location.",https://a0.muscache.com/pictures/1572064c-06a6-432d-8a88-69823968d9ee.jpg,2416216,https://www.airbnb.com/users/show/2416216,Jason,2012-05-19,"Denver, CO","I enjoy traveling and exploration; mountain climbing and the outdoors. I work in the medical field as a Medical Physicist in Radiation Oncology. I have been living in Denver for about 20 years. I like mountaineering quite a bit and have climbed the highest mountain on 3 continents. I love to see and experience different cultures and beautiful landscapes. In 2012, I married Vibeke, and we are happily living in central Denver and enjoy cooking and the outdoors together.",within an hour,100%,100%,t,https://a0.muscache.com/im/users/2416216/profile_pic/1368757669/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2416216/profile_pic/1368757669/original.jpg?aki_policy=profile_x_medium,Cheesman Park,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Cheesman Park,,39.73799,-104.97219,Private room in home,Private room,4,1.0,1 private bath,1.0,5.0,"[""Shampoo"", ""Mini fridge"", ""Cleaning products"", ""BBQ grill"", ""Toaster"", ""Iron"", ""Fire pit"", ""Wine glasses"", ""Blender"", ""Smoke alarm"", ""Hangers"", ""Outlet covers"", ""Self check-in"", ""Clothing storage: closet"", ""Free dryer \u2013 In unit"", ""Shower gel"", ""Room-darkening shades"", ""Children\u2019s dinnerware"", ""Lock on bedroom door"", ""TV"", ""Fire extinguisher"", ""Bathtub"", ""Hair dryer"", ""Pack \u2019n play/Travel crib"", ""Fast wifi \u2013 207 Mbps"", ""Essentials"", ""Stainless steel gas stove"", ""Free washer \u2013 In unit"", ""Books and reading material"", ""Stainless steel single oven"", ""Barbecue utensils"", ""Coffee"", ""Microwave"", ""Kitchen"", ""Cooking basics"", ""Ethernet connection"", ""First aid kit"", ""Outdoor furniture"", ""Dishes and silverware"", ""Freezer"", ""Hot water kettle"", ""Body soap"", ""Dining table"", ""Outdoor dining area"", ""Private living room"", ""Free street parking"", ""Bed linens"", ""Conditioner"", ""Laundromat nearby"", ""Refrigerator"", ""Extra pillows and blankets"", ""Heating"", ""Luggage dropoff allowed"", ""Central air conditioning"", ""Shared backyard \u2013 Fully fenced"", ""Smart lock"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hot water"", ""Shared patio or balcony"", ""Portable fans"", ""Baking sheet"", ""Dishwasher"", ""Board games""]",$97.00,1,29,1,1,1125,1125,1.0,1125.0,,t,8,30,42,311,2024-09-29,1574,122,13,2013-10-12,2024-09-25,4.93,4.96,4.97,4.93,4.94,4.89,4.92,2016-BFN-0008749,f,1,0,1,0,11.79
70,2599115,https://www.airbnb.com/rooms/2599115,20240928232601,2024-09-29,city scrape,Cozy Eastbridge Home walk to everything!,"This new home is bright, light and open with all the modern conveniences. There is a brand new shopping/dining area just 4 blocks from the house with a high end King Soopers and three of the newly named ""Top 25"" Restaurants in the Denver area. It's just 20 minutes from downtown and the airport and surrounded by parks, trails, swimming pools, a rec. center, shopping and great restaurants. The new Stanley Marketplace is just over a mile away!","Just across the street, we have Bluff Lake Nature Center. Early morning walks (there is a mile dirt path around it (no bikes)) are awesome. There are beautiful birds everywhere, deer, foxes, even bald eagles in the winter. The Sand Creek trail heads NW and SE from there and you can connect it with trails to go all around the city of denver.<br />About 4 blocks west is one of our neighborhood's pools. You will have to buy a day pass. This summer, there will be 5 pools to chose from in the hood. A half mile from the house is the Central Park Recreation Center with a large indoor pool and workout room and cardio equipment that looks out over Stapelton's Central Park and west to the mountains. There are bike/walking trails everywhere and a 2 1/2 mile walk/ride takes you to our town center with restaurants, groceries, bars, etc. I can get downton in 15 minutes on Martin Luther King Blvd and the same to the airport via 1-70. Stapleton is a fantastic location to see all that Denver has to off",https://a0.muscache.com/pictures/47304177/af7aeea7_original.jpg,10128382,https://www.airbnb.com/users/show/10128382,Kerry,2013-11-19,"Colorado, United States","I have been living in Denver for the past ten years. After growing up outside of Philadelphia, spending 8 years in Maine and living all over the west (MT, AK, ID), Denver has become a great place to call home. The Stapleton community is a great balance between city and suburbs. We have great restaurants and trails for biking, walking and running are everywhere. The sand creek trail is right across the street from my house and you can run, walk, bike all the way downtown to REI and beyond on it. 
I love the outdoors and Denver is very conducive to an outdoor focused lifestyle. I spend half of my time in a tiny town of 450 people in Creede, Colorado. I enjoy running and mountain biking the trails around Creede as well as floating on the Rio Grande River. 
",within a few hours,100%,90%,t,https://a0.muscache.com/im/users/10128382/profile_pic/1394128588/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/10128382/profile_pic/1394128588/original.jpg?aki_policy=profile_x_medium,Stapleton,1,3,"['email', 'phone']",t,f,Neighborhood highlights,Stapleton,,39.75778,-104.85861,Entire home,Entire home/apt,6,2.5,2.5 baths,3.0,3.0,"[""Shampoo"", ""Cleaning products"", ""Indoor fireplace: gas"", ""BBQ grill"", ""Toaster"", ""Iron"", ""Wine glasses"", ""Long term stays allowed"", ""Keypad"", ""Induction stove"", ""Blender"", ""Private backyard \u2013 Fully fenced"", ""Smoke alarm"", ""Hangers"", ""Self check-in"", ""Pool table"", ""Ceiling fan"", ""Outdoor dining area"", ""Bathtub"", ""Hair dryer"", ""Pack \u2019n play/Travel crib"", ""Coffee"", ""Essentials"", ""Barbecue utensils"", ""Books and reading material"", ""Ping pong table"", ""Dedicated workspace"", ""Kitchen"", ""Microwave"", ""Cooking basics"", ""Outdoor furniture"", ""Varies conditioner"", ""Oven"", ""Dishes and silverware"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Freezer"", ""Free parking on premises"", ""Body soap"", ""Dining table"", ""Free street parking"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Extra pillows and blankets"", ""Heating"", ""Washer"", ""Children\u2019s books and toys"", ""Central air conditioning"", ""Private patio or balcony"", ""Dryer"", ""Wifi"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hot water"", ""Exercise equipment"", ""Dishwasher"", ""Portable fans"", ""Baking sheet"", ""60 inch HDTV with Amazon Prime Video, Apple TV, Netflix, Roku"", ""Board games""]",$181.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,23,50,74,348,2024-09-29,223,15,1,2014-04-22,2024-09-02,4.82,4.85,4.72,4.93,4.81,4.87,4.78,2017-BFN-0001227,f,1,1,0,0,1.75
187,8086875,https://www.airbnb.com/rooms/8086875,20240928232601,2024-09-29,city scrape,Breathtaking Views of Denver,"Comfortably sleeps 8!  Celebrate here!  New modern home in trendy LoHi District w/ easy access to I25 & I70.  Entertainment paradise w/ Chef's Kitchen, high end entertainment systems indulging outdoor gas fire pit, 2 rooftop decks, wet bar & best views of Denver's Skyline!","This home is on a very quiet street in LoHi with tons of great restaurants and bars. Root down, Linger, Old Major and Avanti are a few of my award winning favorites just blocks away.",https://a0.muscache.com/pictures/de529a1d-55f7-4ae0-8246-6acad0faa77c.jpg,40490982,https://www.airbnb.com/users/show/40490982,Jason,2015-08-04,"Denver, CO",Hi! I'm an Airbnb super host in Denver and love to travel. I really look forward to staying at Airbnb's around the world!,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/2932564e-2ce6-43ac-a9a7-d8786cb89678.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2932564e-2ce6-43ac-a9a7-d8786cb89678.jpg?aki_policy=profile_x_medium,Highland,1,1,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Highland,,39.76714,-105.0075,Entire home,Entire home/apt,8,3.0,3 baths,3.0,3.0,"[""Shampoo"", ""Mini fridge"", ""Cleaning products"", ""BBQ grill"", ""Cleaning available during stay"", ""Iron"", ""Fire pit"", ""Wine glasses"", ""Long term stays allowed"", ""Keypad"", ""Private backyard \u2013 Fully fenced"", ""Smoke alarm"", ""Hangers"", ""Indoor fireplace"", ""Stove"", ""Self check-in"", ""Outdoor dining area"", ""Shower gel"", ""Room-darkening shades"", ""Fire extinguisher"", ""Bathtub"", ""Hair dryer"", ""Coffee"", ""Essentials"", ""Barbecue utensils"", ""Dedicated workspace"", ""Kitchen"", ""Microwave"", ""Cooking basics"", ""Ethernet connection"", ""First aid kit"", ""Outdoor furniture"", ""Exterior security cameras on property"", ""Oven"", ""Dishes and silverware"", ""Freezer"", ""Hot water kettle"", ""Free parking on premises"", ""Body soap"", ""Dining table"", ""Sound system"", ""Free street parking"", ""Bed linens"", ""Conditioner"", ""Air conditioning"", ""Refrigerator"", ""Extra pillows and blankets"", ""Heating"", ""Washer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Private entrance"", ""Paid high chair"", ""Dryer"", ""Wifi"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hot water"", ""Patio or balcony"", ""Clothing storage"", ""Portable fans"", ""Baking sheet"", ""Dishwasher""]",$293.00,2,1125,1,2,1125,1125,2.0,1125.0,,t,2,23,44,300,2024-09-29,297,43,5,2016-04-21,2024-09-25,4.99,4.99,4.98,4.99,4.99,4.97,4.91,2024-BFN-0002526,f,1,1,0,0,2.89
272,12210358,https://www.airbnb.com/rooms/12210358,20240928232601,2024-09-29,city scrape,Stroll around Sloans Lake from a Beautifully Curated Home,"Soak up the sun on our front patio, chasing all cares away. Our immaculate mid-century home has been stylishly designed with a cool neutral color palette, enhanced with striking wooden pieces and eye-catching furnishings.<br /><br />Entire property - Smart Lock Access<br /><br />Send a text or call and we are always available.<br /><br />This home is situated on a quiet residential street near coffee shops, restaurants, a movie theater, and a brewery. It’s just a couple of miles from downtown Denver and close to LoHi, Highlands, Berkeley and Jefferson Park.<br /><br />Our home is situated on a quiet residential street in a walk able neighborhood just steps away from a beautiful lake and park (with a 3-mi loop to walk or run), coffee shops, restaurants, a movie theater, O'Dells brewery and Little Man ice cream. Walking distance to Empower Field and Meow Wolf. Just a couple of miles west of downtown Denver, we are adjacent to the following NW neighborhoods - LoHi, the Highlands, Berkeley","Our home is situated on a quiet residential street in a walk able neighborhood just steps away from a beautiful lake and park (with a 3-mi loop to walk or run), coffee shops, restaurants, a movie theater, O'Dells brewery and Little Man ice cream. Walking distance to Empower Field and Meow Wolf. Just a couple of miles west of downtown Denver, we are adjacent to the following NW neighborhoods - LoHi, the Highlands, Berkeley, and Jefferson Park. Easy access to I-70 for mountain trips.",https://a0.muscache.com/pictures/fc4d5b37-7b6e-4a03-bdf2-577ccc07bf79.jpg,7796684,https://www.airbnb.com/users/show/7796684,Susan,2013-07-29,"Denver, CO","I was born and raised in Southern California and now live in Colorado.  My husband and I love the mountains and also embrace ""beach life"".  We enjoy splitting our time between Colorado and the California coast.  We love both places immensely and hope you will too!",within an hour,100%,99%,,https://a0.muscache.com/im/users/7796684/profile_pic/1375114833/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7796684/profile_pic/1375114833/original.jpg?aki_policy=profile_x_medium,Long Beach,9,16,"['email', 'phone']",t,t,Neighborhood highlights,West Colfax,,39.7427,-105.04779,Entire home,Entire home/apt,4,2.0,2 baths,2.0,2.0,"[""Shampoo"", ""BBQ grill"", ""Iron"", ""Long term stays allowed"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Children\u2019s dinnerware"", ""Room-darkening shades"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Lake access"", ""Essentials"", ""Fast wifi \u2013 69 Mbps"", ""Microwave"", ""Kitchen"", ""Cooking basics"", ""Backyard"", ""Oven"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Free parking on premises"", ""Lake view"", ""Body soap"", ""Dining table"", ""Free street parking"", ""Bed linens"", ""Air conditioning"", ""Refrigerator"", ""Extra pillows and blankets"", ""Heating"", ""Washer"", ""Children\u2019s books and toys"", ""TV with standard cable"", ""Laundromat nearby"", ""Private entrance"", ""Single level home"", ""Dryer"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""Dishwasher""]",$199.00,2,90,2,2,90,90,2.0,90.0,,t,5,30,57,147,2024-09-29,250,41,3,2016-04-21,2024-09-15,4.98,4.98,4.98,4.98,4.98,4.97,4.92,2016-BFN-0008864,f,3,3,0,0,2.43
278,12487223,https://www.airbnb.com/rooms/12487223,20240928232601,2024-09-29,city scrape,Cool Mid-Century Minimalist Gem at Sloans Lake,"Call or text us anytime and we will respond right away.<br /><br />The house is close to Sloans Lake and adjacent to Highlands, LoHi, Berkeley, Sunnyside, and Jefferson Park. Grocery stores, cafes, restaurants, a movie theatre, and a brewery are within walking distance. It’s just a couple of miles from downtown.","The house is close to Sloans Lake and adjacent to Highlands, LoHi, Berkeley, Sunnyside, and Jefferson Park. Grocery stores, cafes, restaurants, a movie theatre, and a brewery are within walking distance. It’s just a couple of miles from downtown.",https://a0.muscache.com/pictures/681158a1-4228-4648-b3e0-9d532a62b1df.jpg,7796684,https://www.airbnb.com/users/show/7796684,Susan,2013-07-29,"Denver, CO","I was born and raised in Southern California and now live in Colorado.  My husband and I love the mountains and also embrace ""beach life"".  We enjoy splitting our time between Colorado and the California coast.  We love both places immensely and hope you will too!",within an hour,100%,99%,,https://a0.muscache.com/im/users/7796684/profile_pic/1375114833/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7796684/profile_pic/1375114833/original.jpg?aki_policy=profile_x_medium,Long Beach,9,16,"['email', 'phone']",t,t,Neighborhood highlights,West Colfax,,39.74251,-105.04699,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,2.0,"[""Shampoo"", ""BBQ grill"", ""Iron"", ""Long term stays allowed"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Self check-in"", ""Children\u2019s dinnerware"", ""Room-darkening shades"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Lake access"", ""Essentials"", ""Microwave"", ""Kitchen"", ""Cooking basics"", ""Backyard"", ""First aid kit"", ""Oven"", ""Dishes and silverware"", ""Free parking on premises"", ""Body soap"", ""Free street parking"", ""Bed linens"", ""Air conditioning"", ""Refrigerator"", ""Extra pillows and blankets"", ""Heating"", ""Washer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Smart lock"", ""Fast wifi \u2013 52 Mbps"", ""Dryer"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hot water"", ""Dishwasher""]",$160.00,30,90,6,30,90,90,29.9,90.0,,t,23,53,83,173,2024-09-29,107,0,0,2016-05-14,2023-08-11,4.92,4.92,4.97,4.89,4.98,4.95,4.89,2016-BFN-0008864,f,3,3,0,0,1.05
365,15252302,https://www.airbnb.com/rooms/15252302,20240928232601,2024-09-29,city scrape,Brand New Townhouse near Downtown/Broncos Stadium,"Enjoy this beautiful, brand new townhome. <br /><br />Close to everything! Walking distance to the Bronco's Stadium, a beautiful park, 4-star restaurants and great nightlife. It's a 2 minute drive from downtown. You’ll love my home because of the neighborhood and the history. <br /><br />It's great for groups, families, couples, solo adventurers, and business travelers.<br /><br />4 bathrooms, 3 showers. <br /><br />Top floor balcony w/ great view, garage. High speed internet, cable TV, washer, dryer.","The neighborhood (Jefferson Park) has restaurants, bars, breweries and a few shops.  The supermarket is 2 blocks away and the park itself is beautiful, both to walk through or for kids to play in the playground.<br /><br />Additionally the location is very close to downtown, Lohi, all stadiums/venues and many other cute areas (highlands park on 32/Lowell).",https://a0.muscache.com/pictures/0d5f7afb-9fec-4bd1-9f72-6f33ddec9459.jpg,21681786,https://www.airbnb.com/users/show/21681786,Valerie,2014-09-23,"Denver, CO",,within an hour,100%,85%,f,https://a0.muscache.com/im/users/21681786/profile_pic/1411483339/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/21681786/profile_pic/1411483339/original.jpg?aki_policy=profile_x_medium,Jefferson Park,1,3,"['email', 'phone']",t,t,Neighborhood highlights,Jefferson Park,,39.75226,-105.02308,Entire home,Entire home/apt,5,3.5,3.5 baths,3.0,3.0,"[""Shampoo"", ""Fireplace guards"", ""BBQ grill"", ""Iron"", ""Keypad"", ""Smoke alarm"", ""Indoor fireplace"", ""Hangers"", ""Breakfast"", ""Self check-in"", ""Outdoor dining area"", ""Room-darkening shades"", ""Hair dryer"", ""Essentials"", ""Dedicated workspace"", ""Kitchen"", ""First aid kit"", ""HDTV with Apple TV, premium cable, Amazon Prime Video, Roku, Netflix, standard cable"", ""Dishes and silverware"", ""Free parking on premises"", ""Free street parking"", ""Air conditioning"", ""Refrigerator"", ""Heating"", ""Luggage dropoff allowed"", ""Washer"", ""Private patio or balcony"", ""City skyline view"", ""Dryer"", ""Wifi"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hot water""]",$343.00,2,7,1,2,7,7,2.0,7.0,,t,3,28,58,65,2024-09-29,48,8,1,2016-10-30,2024-09-16,4.98,4.94,5.0,5.0,4.98,4.98,4.84,2023-BFN-0020355,f,1,1,0,0,0.5
